Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3
56469,998,Aitkin,Minnesota,3,0,8,1,1,3,1,44,25.37,50.72,3%,NULL,3,0,4,0,0,0,0
32610,NULL,Alachua,Florida,,,,,,,,,,,,,,,,,,,
32611,NULL,Alachua,Florida,,,,,,,,,,,,,,,,,,,
32612,5458,Alachua,Florida,2,0,7,2,1,4,2,,,,54%,55,5,0,6,1,1,1,1
32601,18585,Alachua,Florida,6,0,11,6,5,8,6,16074,63.43,104.32,100%,35,3,0,4,2,1,2,1
32603,6741,Alachua,Florida,3,0,8,3,1,5,2,2773,69.27,137.3,100%,55,2,0,3,1,1,1,1
32605,22925,Alachua,Florida,6,0,11,5,5,7,6,25773,96.33,262.13,99%,35,3,0,4,2,1,2,1
32606,21833,Alachua,Florida,6,0,11,3,3,5,4,10302,55.93,136.58,90%,35,4,0,5,1,1,1,1
32607,29750,Alachua,Florida,6,0,11,5,4,7,5,55034,79.04,168.35,91%,35,2,0,3,1,1,1,1
32608,45842,Alachua,Florida,6,0,11,5,3,7,4,59073,77.29,192.52,92%,35,3,0,4,1,1,1,1
32609,18756,Alachua,Florida,7,0,12,7,7,9,8,1902,44.51,119.68,97%,35,3,0,4,2,1,2,1
32615,14295,Alachua,Florida,5,0,10,3,3,5,4,9889,17.89,41.73,93%,65.99,3,0,4,2,1,2,1
32618,7732,Alachua,Florida,6,1,12,3,3,5,4,1158,7.93,15.45,29%,35,2,0,3,1,1,1,1
32631,291,Alachua,Florida,2,0,7,2,2,4,3,63,7.2,13.35,92%,79.99,2,0,3,1,1,1,1
32641,14291,Alachua,Florida,6,1,12,5,3,7,4,5031,74.08,134.95,95%,35,3,0,4,1,1,1,1
